time,user_name,user_color,message
26,thetasigma01,#1E90FF,"1st!"
30,thetasigma01,#1E90FF,"im so cool"
37,masonlutherking0,#00FF7F,"hi nevo"
40,masonlutherking0,#00FF7F,"I’m ready"
40,sofiyeg,#8A2BE2,"finally the i can dethrone mr mii"
40,nevo1st,#1E90FF,"lets gooo"
42,ic3mini,#000000,"hello mr perm boy"
45,tashathetwat,,"Good evening chat xx"
46,sofiyeg,#8A2BE2,"hi nevo!"
49,sofiyeg,#8A2BE2,"hi chat :3"
53,ttvbest_fortnite_player,#FF0000,"Heyy xxx"
55,masonlutherking0,#00FF7F,"I can’t wait"
58,paulmccartneyy_,#DAA520,"my mum says i cant watch stream til i finish all my vegetables -_-"
60,ic3mini,#000000,"if youre having problems with synapse btw i can help after stream :P"
65,nevo1st,#1E90FF,"@paulmccartneyy_ FINISH THEM"
67,masonlutherking0,#00FF7F,"@paulmccartneyy_ eat up"
70,nevo1st,#1E90FF,"@ic3mini that would be epic :)"
71,best_lesbian,#FF69B4,"Hiii nevoo"
77,ttvbest_fortnite_player,#FF0000,"Hey gimpy gimpy begging for chaw fuster boy"
84,nevo1st,#1E90FF,"@ttvbest_fortnite_player ?!?!?!?!"
86,ic3mini,#000000,"@nevo1st ok cool"
96,brodzster11,,"heya everyone"
104,best_lesbian,#FF69B4,"Mr Mii what did you have for tea"
104,masonlutherking0,#00FF7F,"the first mii is nevo himself"
108,thetasigma01,#1E90FF,"@paulmccartneyy_ my mum said nothing"
112,tashathetwat,,"How are we all tonight?! nevo1sSmiles"
115,paulmccartneyy_,#DAA520,"is this the schlatt version or do i need to go outside?"
124,nevo1st,#1E90FF,"@paulmccartneyy_ it is!"
134,masonlutherking0,#00FF7F,"shat"
134,ttvbest_fortnite_player,#FF0000,"@nevo1st you know what. 😡"
139,kiinggslley,#00FF7F,"NEVO YOURE REALLY CLOSE REALLY CLOSE NEVO NEVO YOURE REALLY CLOSE"
147,tashathetwat,,"HELLO MR MII"
152,best_lesbian,#FF69B4,"Finally"
152,sofiyeg,#8A2BE2,"i've been waiting for this"
153,jackebee_,,"i am BUZZING"
164,best_lesbian,#FF69B4,"New haircut??"
167,brodzster11,,"happy birthday nevo lad"
169,thetasigma01,#1E90FF,"ThetaSigma01 is gifting 1 Tier 1 Subs to nevo1st's community! They've gifted a total of 41 in the channel! "
169,thetasigma01,#1E90FF,"ThetaSigma01 gifted a Tier 1 sub to Mini_Tom17! "
177,kiinggslley,#00FF7F,"just watched the most shittesy adam sander film ever"
179,paulmccartneyy_,#DAA520,"Wait nevo has a now taper fade"
181,ttvbest_fortnite_player,#FF0000,"MINI TOM"
193,masonlutherking0,#00FF7F,"mini Tom be grateful"
197,masonlutherking0,#00FF7F,"pixels is fire"
198,sofiyeg,#8A2BE2,"i watched after hours finally"
200,thetasigma01,#1E90FF,"THAT 100! WAS RANDOM I SWEAR!"
203,kiinggslley,#00FF7F,"it’s on my letterboxd"
208,sofiyeg,#8A2BE2,"actually a good suggestion nevo"
212,goomylfc,#FF0000,"no bother"
215,kiinggslley,#00FF7F,"eight crazy nights was the film"
216,sofiyeg,#8A2BE2,"it was great"
218,masonlutherking0,#00FF7F,"yes goomy laf"
237,masonlutherking0,#00FF7F,"go in the mii channel and show everyone your face"
238,tashathetwat,,"been there done that"
262,goomylfc,#FF0000,"how does the king (me) get in the discord"
270,stxticscrexm,#9D8FDE,"humble"
275,best_lesbian,#FF69B4,"Fucking creepy"
