time,user_name,user_color,message
9,cocokofu,,"hey cunts"
22,nevo1st,#1E90FF,"@Rizzo04 what now"
24,nevo1st,#1E90FF,"HELLO CUNTS"
25,rizzo04,#FF00F3,"HI NEVO"
25,ic3mini,#000000,"first"
27,ic3mini,#000000,"im first"
28,fivootm,#00973E,"HELOH"
30,thetasigma01,#1E90FF,"1st"
32,ic3mini,#000000,"everyone else is lying"
32,ma1va_,,"HELLO!!!"
33,rizzo04,#FF00F3,"@nevo1st i punched my screen"
33,nevo1st,#1E90FF,"HEIGH"
40,thetasigma01,#1E90FF,"nevo how smelly are you feet today"
46,sofiyeg,#8A2BE2,"hi everyone :3"
57,triabtrue,,"i am pepeared"
57,ujuzicc,#00F7FF,"step into nevo stream"
57,sofiyeg,#8A2BE2,"and hi nevo :/"
59,realkdy20,#0000FF,"is this another stream where you spend the whole time failing to win minecraft?"
60,nevo1st,#1E90FF,"@ThetaSigma01 not smelly at all, your mum licked em clean"
67,nevo1st,#1E90FF,"@realKDY20 yep"
69,zynxoh,#8A2BE2,"HI NEVO"
77,thetasigma01,#1E90FF,"impossible mate as my mum is dead @nevo1st"
77,ttvbest_fortnite_player,#FF0000,"Oi"
77,crazylaina2012,,"NEVO HELLO"
78,sofiyeg,#8A2BE2,"@nevo1st actually don't stream tonight"
83,triabtrue,,"me and fivo gaming first?"
83,conradwba,,"Hello Nevo Mate"
86,kaciepain_,#9ACD32,"i want to step into christmas. but im worried about the fee for admission.."
89,nevo1st,#1E90FF,"HI ZYNXOH AND MAIVA AND LAINA AND CHARLIE AND THETA AND SOFIYE AND TRIABTRUE AND FIVO AND KACIE"
92,nevo1st,#1E90FF,"@Triabtrue YES"
96,triabtrue,,"EPIC"
98,anastasiabvrhausen,#FF00E7,"did u manage to get a hair cut"
100,conradwba,,"Brilliant song choice as always"
102,ttvbest_fortnite_player,#FF0000,"Let's skibdi"
103,nevo1st,#1E90FF,"@AnastasiaBvrhausen no :("
103,rizzo04,#FF00F3,"@nevo1st heh im here too mate! you forgot me mate"
111,cocokofu,,"any sausageroll havers tonight"
112,nevo1st,#1E90FF,"@Rizzo04 hello Rizzo <3"
117,sofiyeg,#8A2BE2,"@Rizzo04 i feel bad for how nevo treats you"
118,rizzo04,#FF00F3,"@nevo1st omg my hero"
119,jamieec,#5F9EA0,"HI NEVO ARE MY CHATS WORKING?"
120,nevo1st,#1E90FF,"@cocoKofu NO NO NO NO NO NO"
124,nevo1st,#1E90FF,"@JamieEC yes"
127,rizzo04,#FF00F3,"@SofiyeG its really sad like what did i do to him"
133,lyraawr,#FF69B4,"wow this music is sooo flipping festive!"
141,cocokofu,,"wow its almost like its chridtmas"
146,conradwba,,"Step into Christmas"
147,lyraawr,#FF69B4,"it is...?"
154,sofiyeg,#8A2BE2,"i've been listening to christmas music non-stop"
156,lyraawr,#FF69B4,"ehat.. what what"
157,cocokofu,,"merry chridstmas guys"
168,lyraawr,#FF69B4,"hello nevo First"
169,jamieec,#5F9EA0,"my favourite christmas song is fairytale in among us"
170,rizzo04,#FF00F3,"can you get violent please"
170,cocokofu,,"MERRY CHRISTMAS NEVO"
176,triabtrue,,"slick it back"
180,sofiyeg,#8A2BE2,"lied to chat again >:("
183,triabtrue,,"everyone will thing u had 1"
186,triabtrue,,"thiunk"
189,rizzo04,#FF00F3,"always lying to chat man...."
192,jamieec,#5F9EA0,"woman? dont u go to  a barbers mate"
193,anastasiabvrhausen,#FF00E7,"the woman was like "hang on can you hear me?""
193,triabtrue,,"slick it back now"
201,cocokofu,,"is ian moore your hairdresser"
203,lyraawr,#FF69B4,"clipping and sending that to her pal"
217,sofiyeg,#8A2BE2,"since when do women work?!"
223,kaciepain_,#9ACD32,"WEEKS?"
223,zynxoh,#8A2BE2,"nevo when are you making pea dough on stream?"
225,triabtrue,,"do they PAY her?!"
226,anastasiabvrhausen,#FF00E7,"@JamieEC he has trauma related to male barbers u WANKER"
239,cocokofu,,"you said "a few  more weeks of this""
245,triabtrue,,"fucking christ"
247,kerloud,#DADADA,"Hello nev"
247,lyraawr,#FF69B4,"@sofiyeg didnt even know they could leave the house without their husbands let alone work!"
257,jamieec,#5F9EA0,"what is your new style gonna be?"
263,bigmanclown,#0000FF,"nevo1sS nevo1sS nevo1sS nevo1sS nevo1sS nevo1sS"
265,cocokofu,,"nevo shave your head bald please"
266,lyraawr,#FF69B4,"tryhard pals!"
267,anastasiabvrhausen,#FF00E7,"its gonna be hours"
270,jamieec,#5F9EA0,"DONT SAY IT"
274,kaciepain_,#9ACD32,"L L L Low Taper FADE"
275,lyraawr,#FF69B4,"holy shit"
278,zynxoh,#8A2BE2,"LOW TAPER FADE"
280,cocokofu,,"LOW TAPER FADEEE"
282,sofiyeg,#8A2BE2,"horrific laugh"
284,anastasiabvrhausen,#FF00E7,"major ick there mate"
285,bigmanclown,#0000FF,"drake hairstyle when"
285,cocokofu,,"go bald and ill give u £50"
297,zynxoh,#8A2BE2,"Big Mac and braids?"
308,jamieec,#5F9EA0,"pls get a mullet im not joking"
309,kaciepain_,#9ACD32,"nevo im eating a malteser while watching, is that alright?"
330,cocokofu,,"@kaciepain_ fuckin love maltesers"
335,sofiyeg,#8A2BE2,"triabtrue and fivoo are quite good no?"
341,ymeou,#FF0000,"@cocoKofu this guy's true"
355,ic3mini,#000000,"nevo will bring the team DOWN"
361,triabtrue,,"we will make house in th end"
364,ujuzicc,#00F7FF,"i mean they're still playing with you"
366,kaciepain_,#9ACD32,"fivoo and fin are good.. nevo not so much"
366,anastasiabvrhausen,#FF00E7,"if this is i'll be fuming bc i downloaded a new skin and everything"
384,sofiyeg,#8A2BE2,"@ic3mini he will jump of a cliff again or die to singular zombie or something"
401,kaciepain_,#9ACD32,"YOU CHEATED."
402,bill_schitt,#008000,"SCRIPTED SEED"
405,bill_schitt,#008000,"IMMEDIATELY CHEATED"
421,bill_schitt,#008000,"restart"
421,cocokofu,,"LOLLL"
422,rizzo04,#FF00F3,"omfg"
422,sofiyeg,#8A2BE2,"LMAO"
423,bill_schitt,#008000,"that doesnt count"
423,ic3mini,#000000,"AGHY U"
424,cocokofu,,"HAHAHA"
424,anastasiabvrhausen,#FF00E7,"THE END"
427,anastasiabvrhausen,#FF00E7,"RUN OVER"
428,kerloud,#DADADA,"Pay me nev"
428,kaciepain_,#9ACD32,"well"
430,sofiyeg,#8A2BE2,"why is it always on you"
436,cocokofu,,"so embarrassing"
436,ic3mini,#000000,"LMAOOO"
445,kaciepain_,#9ACD32,"why do you spawn in first when youre such a liability"
