time,user_name,user_color,message
5,anastasiabvrhausen,#FF00E7,"@bill_schitt just no need for that nastiness is there. especially when you go about smelling like cabbage."
9,born2shit_forced2wipe,#2E8B57,"fixxed??"
16,rizzo04,#FF00F3,"REFRESH GUYS X"
19,charlie59367,#1E90FF,"Giiimp"
25,bartsimplton,#DAA520,"HELLO AGAIN"
26,anastasiabvrhausen,#FF00E7,"??????????"
29,bill_schitt,#008000,"0 viewers andy"
33,sofiyeg,#8A2BE2,"nice ambient sound this"
35,ya_dad_sells_avon123,,"the boy who live"
35,luigimangione2024,,"NOOB"
35,tashathetwat,,"welcome back everyone"
39,bigmanting1337_,#8A2BE2,"this shit sucked megacockolis"
40,rizzo04,#FF00F3,"sounds like missus when i go pub instead of watching her crap films 👎"
41,jayc365ud,,"nevo is it not a bit late"
48,born2shit_forced2wipe,#2E8B57,"bloody hell"
49,paulmccartneyy_,#DAA520,"I cant wait for this to be over!"
50,charlie59367,#1E90FF,"No viewers nathan"
51,born2shit_forced2wipe,#2E8B57,"dont u love windows eh?"
55,rizzo04,#FF00F3,"WHEYYY"
56,bill_schitt,#008000,"it’s never over"
56,born2shit_forced2wipe,#2E8B57,"u ok pal?"
56,totally_wired_47,#FF69B4,"what happened to alex this time"
57,fivootm,#00973E,"what happened?"
57,jayc365ud,,"hello all"
63,ya_dad_sells_avon123,,"what happened"
67,cocokofu,,"cant believe ur back"
74,bill_schitt,#008000,"huh"
76,anastasiabvrhausen,#FF00E7,"you were only at 3rd mission tho right?"
76,charlie59367,#1E90FF,"Lmao"
77,luigimangione2024,,"I CANT DO THIS ALL AGAIN"
77,bill_schitt,#008000,"oh"
77,born2shit_forced2wipe,#2E8B57,"ahh we didnt lose our prediction :D"
80,bill_schitt,#008000,"hahahahahahaha"
95,born2shit_forced2wipe,#2E8B57,"1am nevo stream lets go"
98,georgelovesnevo,#FF0000,"tryna sleep mate"
110,jayc365ud,,"trying to sleep Nevo how could you"
113,georgelovesnevo,#FF0000,"grrrr"
114,jayc365ud,,"nevo1sWallace"
117,born2shit_forced2wipe,#2E8B57,"i cant believe people sleep without silencing their phone"
131,bigmanting1337_,#8A2BE2,"go go gadget crash nevo’s drivers!"
131,born2shit_forced2wipe,#2E8B57,"alarms still come through?"
135,georgelovesnevo,#FF0000,"@born2shit_forced2wipe don’t get much anyway"
135,charlie59367,#1E90FF,"@born2shit_forced2wipe stop"
139,cocokofu,,"to be fair how are u waking up to an @everyone unless u have notifications on their phone, which is sad..."
140,tashathetwat,,"yeah you’ve woke my mum up nevo1sFrowns"
142,paulmccartneyy_,#DAA520,"alarm goes off even on silent ! nevo1sSmiles"
152,cocokofu,,"one thing ill never do is have notifications on discord on my phone o7"
154,georgelovesnevo,#FF0000,"@paulmccartneyy_ not mine"
158,bill_schitt,#008000,"nevo you give selfish vibes"
162,sofiyeg,#8A2BE2,"only pangle is still timed out i think"
167,rizzo04,#FF00F3,"i beg everyone actually chills out a bit now it’s brought the stream down a little"
171,born2shit_forced2wipe,#2E8B57,"iphones are really weird about it"
174,born2shit_forced2wipe,#2E8B57,"u can change it afaik"
175,jayc365ud,,"Nevo have you seen the evil skateboarding mission that people can never complete"
184,bigmanting1337_,#8A2BE2,"jamie didnt know that because when he was younger people used to knock on windows"
189,tashathetwat,,"@rizzo04 ^"
209,luigimangione2024,,"i dont care if mondays blue tuesdays grey and wednesday too thursday i dont care about you cause friday i am gassy"
211,jayc365ud,,"there’s like a really hard  skateboarding mission that always makes people give up"
232,bigmanting1337_,#8A2BE2,"homeler stimpson"
238,ya_dad_sells_avon123,,"when is the next mii stream"
238,bartsimplton,#DAA520,"this game genuinely just gave a whole generation anger issues"
251,sofiyeg,#8A2BE2,"i don't believe any longer"
254,jayc365ud,,"defo not completing today"
266,georgelovesnevo,#FF0000,"it’s only Simpson not elder scrolls"
268,bill_schitt,#008000,"can I refund the prediction and start a new one"
275,paulmccartneyy_,#DAA520,"HOW ARE YOU STILL BACK."
290,jayc365ud,,"this is way more rage inducing than elder scrolls"
291,bill_schitt,#008000,"how are you still on Lisa’s level"
297,anastasiabvrhausen,#FF00E7,"Alex turner was posting dody stuff in discord as well. lol"
301,ya_dad_sells_avon123,,"the creamster is a racist"
303,rizzo04,#FF00F3,"yeah alex turner was racist in discord too"
319,georgelovesnevo,#FF0000,"@rizzo04 mad"
319,bigmanting1337_,#8A2BE2,"if i wake up at 7:30 and see u live im gonna laugh my arse off"
321,jayc365ud,,"can’t believe an arctic monkey would be racist"
334,tashathetwat,,"I am disappointed in my boyfriend nevo1sFrowns"
364,bigmanting1337_,#8A2BE2,"leak dms for fiver?"
382,sofiyeg,#8A2BE2,"@BigManTing1337_ nah my bank details are in ther"
388,jayc365ud,,"nevo thoughts on Simpsons tapped out dying :("
407,rizzo04,#FF00F3,"right fresh slate everyone behave and enjoy watching nevo lose his head"
417,jayc365ud,,"na install it before they nuke it off App Store"
420,anastasiabvrhausen,#FF00E7,"nevo thoughts on krusty's dad dying"
425,jayc365ud,,"I’m actually sad I’m so addicted to it"
427,charlie59367,#1E90FF,"@rizzo04 is panglewang untimeouted"
436,ya_dad_sells_avon123,,"jus a little bit"
439,thetasigma01,#1E90FF,"fuck you rizzo (jk love u)"
439,rizzo04,#FF00F3,"simpsons tapped out funeral tiktok? use the death of it to your advantage"
462,jayc365ud,,"what did panglewang do"
464,georgelovesnevo,#FF0000,"why is everyone timed out"
474,luigimangione2024,,"i am listening to the cure im not too fond of thhe cure but im having a fun time"
476,bigmanting1337_,#8A2BE2,"what freak irons socks"
478,charlie59367,#1E90FF,"@jayc365ud getting a bit too cheeky"
484,jayc365ud,,"that’s shocking"
491,born2shit_forced2wipe,#2E8B57,"IS THAT A JOKE"
492,georgelovesnevo,#FF0000,"freaky ahh stream"
493,born2shit_forced2wipe,#2E8B57,"holy shit"
493,anastasiabvrhausen,#FF00E7,"Tom irons his hair flat"
507,paulmccartneyy_,#DAA520,"one person got timed out for being repeatedly nsfw. then alex turner just got banned for questionable stuff. now lets all be normal"
507,jayc365ud,,"you ever seen the morning routine guys on tik tok who iron their bed sheets"
510,bigmanting1337_,#8A2BE2,"thomas schittington you should be ashamed"
510,bill_schitt,#008000,"insane how you have to resort to slander to insult me"
522,anastasiabvrhausen,#FF00E7,"was toms DnD character an elf"
523,tashathetwat,,"do you actually iron your socks tho Tom…"
528,rizzo04,#FF00F3,"mate imaging freshly ironed socks in winter pwahhhhh"
535,rizzo04,#FF00F3,"imagine*"
544,bill_schitt,#008000,"I DONT EVEN KNOW HOW TO OPERATE AN IRON"
547,born2shit_forced2wipe,#2E8B57,"no thanks mate"
550,jayc365ud,,"do you all play dnd together?"
550,born2shit_forced2wipe,#2E8B57,"i should be in bed tbh"
551,rizzo04,#FF00F3,"i did it"
553,sofiyeg,#8A2BE2,"not doing that"
556,born2shit_forced2wipe,#2E8B57,"ok i did it for you"
560,ya_dad_sells_avon123,,"nevo I’ve got four k on this please win"
563,bigmanting1337_,#8A2BE2,"🦍🦍🦍"
570,paulmccartneyy_,#DAA520,"i did it sofiye.. normally were on same wavelength"
573,bartsimplton,#DAA520,"Some"
575,bigmanting1337_,#8A2BE2,"sorry thought you said gorilla emoji"
582,anastasiabvrhausen,#FF00E7,"no"
582,sofiyeg,#8A2BE2,"@paulmccartneyy_ first time we aren't today"
587,sofiyeg,#8A2BE2,"now i did it"
591,rizzo04,#FF00F3,"actually fucking did it anorl"
592,paulmccartneyy_,#DAA520,"me when my babies kicking"
598,charlie59367,#1E90FF,"@bigmanting1337_ 👍👍"
604,rizzo04,#FF00F3,"@paulmccartneyy_ LOL"
616,jayc365ud,,"guys how do I change my discord name"
619,anastasiabvrhausen,#FF00E7,"can you kiss the zombies in this game"
621,bartsimplton,#DAA520,"I like sharing my gamer energy with less fortunate gamers"
665,bigmanting1337_,#8A2BE2,"chicken select yummy"
666,rizzo04,#FF00F3,"quite calming at this tone"
667,jayc365ud,,"this is a relaxing 1 am stream"
683,jayc365ud,,"asmr nevo"
685,bartsimplton,#DAA520,"I feel relaxed"
