time,user_name,user_color,message
2,fivootm,#00973E,"hiya did you help your nan"
9,jamieec,#5F9EA0,"hi nevo"
15,jamieec,#5F9EA0,"how was ur cuppa joe?"
15,nevo1st,#1E90FF,"@FivooTM no its gonna have to me tomorrow cos its taking ages to charge"
19,rizzo04,#FF00F3,"HI NEVO!"
19,nevo1st,#1E90FF,"@JamieEC water"
24,nevo1st,#1E90FF,"@Rizzo04 HELLO RIZO"
25,nevo1st,#1E90FF,"ZZO"
28,ma1va_,,"HII\"
35,nevo1st,#1E90FF,"HI MAIVA"
35,fivootm,#00973E,"@nevo1st just know i am disappointed in you and you will amount to nothing in life"
36,zynxoh,#8A2BE2,"HI NEVO"
40,jamieec,#5F9EA0,"are u still shit at this game?"
40,anastasiabvrhausen,#FF00E7,"omg i was thinking about this song earlier did you read my mind"
40,nintendogsforswitch,#5F9EA0,"not much has changed but we live underwater!"
54,xlbullyofnevo,#0000FF,"Are you playing Tomidachi Life?"
55,paulmccartneyy_,#DAA520,"IM watching this in a full suit and tie... make it worth it nevo1sSmiles"
67,nevo1st,#1E90FF,"@xlbullyofnevo perhaps later"
76,bigfatfattyfatso,,"great great great granddaughter would be DEAD in the year 3000 stupid PRICK"
76,anastasiabvrhausen,#FF00E7,"should i have a fruit pastille ice lolly or a snickers ice cream bar nevo1sSmiles"
80,xlbullyofnevo,#0000FF,"👍"
85,nevo1st,#1E90FF,"i took a shit in the year 3000"
93,jamieec,#5F9EA0,"when is it fully loaded bro?"
94,best_lesbian,#FF69B4,"Nevo should I save for a Jill valentine duck or to sub to you?"
94,ujuzicc,#00F7FF,"hello nevo1st"
101,anastasiabvrhausen,#FF00E7,"thats disgusting nevo"
107,nevo1st,#1E90FF,"@best_lesbian err you know what id say"
109,paulmccartneyy_,#DAA520,"imagine what a burn it is to make a whole time machine just to say your grandaughter is LENG"
125,whotookmyspaghetti,,"‘scuse me darling what’s your name?"
131,jamieec,#5F9EA0,"longest pre stream segment ever?"
137,jamieec,#5F9EA0,"can we see cat before u put her out?"
140,kerloud,#DADADA,"Nevor"
140,paulmccartneyy_,#DAA520,"owen crews is his name"
144,xlbullyofnevo,#0000FF,"Nevo have you heard of Bonnie Blu?"
149,smellysoggysock,#1E90FF,"Hello n go welcome back to a stream"
152,anastasiabvrhausen,#FF00E7,"OWEN???? I thought ur name was Nevo wtf"
154,best_lesbian,#FF69B4,"@whotookmyspaghetti I took your spaghetti"
162,ujuzicc,#00F7FF,"why are you playing this awful version of year 3000?"
164,rizzo04,#FF00F3,"andy moore leaving the tiktok league was my 9/11"
171,anastasiabvrhausen,#FF00E7,"can u check if my mod notes have been fixed it was a bit rude"
177,bigfatfattyfatso,,"I’ve just slicked it back"
179,rizzo04,#FF00F3,"go bald please mate"
180,jamieec,#5F9EA0,"i think u should grow a mullet"
183,paulmccartneyy_,#DAA520,"WHAT IF NEVO GOT A LOW TAPER FADE?!?!"
192,jamieec,#5F9EA0,"i quite like a mullet tbf"
194,kerloud,#DADADA,"BALD"
196,best_lesbian,#FF69B4,"Nevo have you considered getting Candy's cooking to do a nevy awarded"
200,zynxoh,#8A2BE2,"get a Big Mac and braids"
202,rizzo04,#FF00F3,"theres not much to cut baldie mate thanks mate"
218,ujuzicc,#00F7FF,"bit rude :("
220,xlbullyofnevo,#0000FF,"Nevo you should get the R9 haircut"
222,best_lesbian,#FF69B4,"I haven't checked the price"
230,best_lesbian,#FF69B4,"Fuck off"
232,fivootm,#00973E,"what a steal"
232,jamieec,#5F9EA0,"how else can she afford all the food"
232,xlbullyofnevo,#0000FF,"Also can Jafaar do a Nevy?"
237,bigfatfattyfatso,,"bargain"
240,best_lesbian,#FF69B4,"Jesus"
248,anastasiabvrhausen,#FF00E7,"I'll announce a nevvy for 50p and a packet of maltesers"
260,zynxoh,#8A2BE2,"can my glass of water do a nevvy"
265,best_lesbian,#FF69B4,"Nevo I might get a haircut this week what should I get"
266,jamieec,#5F9EA0,"when is the deadline?"
273,nevo1st,#1E90FF,"https://forms.gle/B9c9dWNjcp3Z2WXV9"
275,rizzo04,#FF00F3,"i cant remember if i did it or not"
275,kerloud,#DADADA,"Wheres this bloody"
276,ujuzicc,#00F7FF,"is dj oceanbread secured?"
277,kerloud,#DADADA,"Nvm"
283,anastasiabvrhausen,#FF00E7,"NEVO UR MODS ARE BULLYING ME IN MOD COMMENTS"
299,paulmccartneyy_,#DAA520,"i didnt vote im against democracy"
318,jamieec,#5F9EA0,"well ru still shit at it bro?"
323,ujuzicc,#00F7FF,"do you want us to fill in the whole thing again or just funniest nevling?"
324,thetasigma01,#1E90FF,"can we see you dab"
332,best_lesbian,#FF69B4,"Are we getting in the silent Hill bit"
333,kerloud,#DADADA,"Can u play piglets big smegma"
335,xlbullyofnevo,#0000FF,"No Nevo don't play Silent Hill 2 it's to scary"
339,paulmccartneyy_,#DAA520,"Hit the yawn into dab emote like fortnite"
339,bigfatfattyfatso,,"Bigfatfattyfatso as a baby"
358,anastasiabvrhausen,#FF00E7,"did that say u were playing harry potter earlier hmmmm"
359,lyraawr,#FF69B4,"why are you shaming babies ?"
362,bigfatfattyfatso,,"yes I do know nevo"
368,jamieec,#5F9EA0,"blurry cam bestie"
369,rizzo04,#FF00F3,"genuinley spot on"
377,best_lesbian,#FF69B4,"That's mean"
377,lyraawr,#FF69B4,"he was once... :("
379,jamieec,#5F9EA0,"did u buy a new cam?"
401,ya_dad_sells_avon123,,"hello nevo"
416,best_lesbian,#FF69B4,"Nevo I've nearly finished Leon's story in resident evil 2"
416,jamieec,#5F9EA0,"ok owen can you explain what any% means?"
425,anastasiabvrhausen,#FF00E7,"You should use the camera I've put in the corner of ur room instead of the web cam it's much higher quality"
426,ttvbest_fortnite_player,#FF0000,"Are you really that bad?"
432,rizzo04,#FF00F3,"having a cheeky chocolate orange"
450,zynxoh,#8A2BE2,"this game is pretty big"
451,lyraawr,#FF69B4,"@AnastasiaBvrhausen i think this warrants a time out"
456,ttvbest_fortnite_player,#FF0000,"It's a game for toddlers mate"
457,xlbullyofnevo,#0000FF,"Nevo I am going to spend my channel points on creating a mii but I want your help of who I should suggest my 3 thoughts are MrLukeDes, Elford12 and Bonnie Blu"
463,jamieec,#5F9EA0,"if anyone else said that they would get a ban"
470,ttvbest_fortnite_player,#FF0000,"@lyraawr believe it does"
471,anastasiabvrhausen,#FF00E7,"@lyraawr isnt this ur night off part time mod"
471,lyraawr,#FF69B4,"@JamieEC you should try it out"
485,jamieec,#5F9EA0,"@xlbullyofnevo do luke des"
486,bigfatfattyfatso,,"nevo where do you think me (Bigfatfattyfatso) is from"
494,lyraawr,#FF69B4,"@AnastasiaBvrhausen umm nevo said he was gonna make me permanent"
499,paulmccartneyy_,#DAA520,"its spelt luke deez... luke at DEEZ NUTS!"
501,thetasigma01,#1E90FF,"fun fact did you know if Kermit wasn’t born 9/11 wouldn’t have happened cos In the one Muppets X-Mass special, we see a glimpse of a world where Kermit was never born. In which we see the twin towers standing tall and proud. However, when we see the world where Kermit IS born, the towers are no longer there. So what could the muppet have done to do this? His existence has caused 9/11"
502,sofiyeg,#8A2BE2,"'ello nevlings"
504,jamieec,#5F9EA0,"you say everyone is scottish"
507,sofiyeg,#8A2BE2,"and hello nevo"
509,best_lesbian,#FF69B4,"Apparently a kid in my class is famous on tik tok"
510,bigfatfattyfatso,,"no no"
512,bigfatfattyfatso,,"LIES"
521,ttvbest_fortnite_player,#FF0000,"@bigfatfattyfatso north Ireland"
521,jamieec,#5F9EA0,"nevo where do u think im from?"
525,anastasiabvrhausen,#FF00E7,"@ThetaSigma01 me when i spam Chat GPT"
529,jamieec,#5F9EA0,"remember the first few streams u kept asking for my address"
539,ic3mini,#000000,"this is a kids game"
542,rizzo04,#FF00F3,"raging at a kids game less then 10 mins into the stream"
545,ttvbest_fortnite_player,#FF0000,"Nevo."
546,wigwad3,#00FF7F,"silly pig"
547,best_lesbian,#FF69B4,"Not that hard"
551,paulmccartneyy_,#DAA520,"i hate this game it uses same sounds as my headphones and i keep thinking theyre breaking"
555,lyraawr,#FF69B4,"try harder reallty"
555,best_lesbian,#FF69B4,"I could do that"
563,best_lesbian,#FF69B4,"Walk past him"
564,ic3mini,#000000,"try not fucking it up"
569,zynxoh,#8A2BE2,"AHHHH"
571,xlbullyofnevo,#0000FF,"MrLukeDes is a hustle TikToker who brags about forex trading,not having to work and staying in expensive hotels every night"
572,jamieec,#5F9EA0,"are u joking so easy"
574,nintendogsforswitch,#5F9EA0,"i think youd be really really bad at that one google doodle halloween cat game. sneele knows"
574,sofiyeg,#8A2BE2,"it's a children's game lad, can't be that hard"
576,ujuzicc,#00F7FF,"must be possible if people have done speedruns, silly nevo"
578,anastasiabvrhausen,#FF00E7,"wth"
580,best_lesbian,#FF69B4,"Well done"
599,rizzo04,#FF00F3,"you look like you smell like salami"
599,paulmccartneyy_,#DAA520,"BALJEET!"
602,best_lesbian,#FF69B4,"Just walk past him it's easy"
602,jamieec,#5F9EA0,"we need some england respresetation on that board"
605,anastasiabvrhausen,#FF00E7,"BALJEET OUT PHINEAS AND FERB OMG"
606,lyraawr,#FF69B4,"holy shit baljeet does speedruns?"
614,jamieec,#5F9EA0,"he is doing on xbox is there a difference?"
630,ttvbest_fortnite_player,#FF0000,"Get good?"
635,anastasiabvrhausen,#FF00E7,"BALJEET"
636,paulmccartneyy_,#DAA520,"nevo can we be fr ive never seen you succeed at any game youve tried"
641,ttvbest_fortnite_player,#FF0000,"Baljeet lad"
644,jamieec,#5F9EA0,"is it the same order every time?"
645,ttvbest_fortnite_player,#FF0000,"Not bajeet"
647,ujuzicc,#00F7FF,"practice and dedication"
651,best_lesbian,#FF69B4,"He's on xbox probably a hacker"
659,xlbullyofnevo,#0000FF,"Nevo have you seen the message from the creators of Piglets Big Game when they state that they wanted to make a horror game to unease kids"
660,lyraawr,#FF69B4,"@UjuziCC this is the encouragement nevo needs :)"
660,rizzo04,#FF00F3,"you lot are so horrible to this penny scraping streamer"
661,ujuzicc,#00F7FF,"years of honing your craft"
676,ujuzicc,#00F7FF,"@lyraawr thank you new mod lucie lyraawr"
678,jamieec,#5F9EA0,"we're here to support you buddy no matter what you choose :)"
684,sofiyeg,#8A2BE2,"@Rizzo04 penny scraping.... he's swimming in them"
685,lyraawr,#FF69B4,"@UjuziCC thanks friend of the channel ujuzicc"
695,jamieec,#5F9EA0,"if you do it i will donate 5 subs"
698,brodzster11,,"hello"
707,paulmccartneyy_,#DAA520,"i have no doubt in my mind you will not succeed nevo1sSmiles"
713,sofiyeg,#8A2BE2,"i'll also contribute some subs if you do it"
713,xlbullyofnevo,#0000FF,"Are you going to bet that you can do it"
714,zynxoh,#8A2BE2,"prediction if you get world record this stream"
718,brodzster11,,"what is this"
720,ttvbest_fortnite_player,#FF0000,"You're actually a leprechaun"
732,xlbullyofnevo,#0000FF,"@zynxoh no"
735,jamieec,#5F9EA0,"just do prediciton if he even completes it"
747,anastasiabvrhausen,#FF00E7,"I feel like I might have been going through psychosis last time you played bc i have like no memories of half of it"
757,sofiyeg,#8A2BE2,"@JamieEC "chat i can't do this, it's way too hard""
761,jamieec,#5F9EA0,"this KIDS game"
764,ttvbest_fortnite_player,#FF0000,"God no"
768,brodzster11,,"how does someone win a piglet game"
772,xlbullyofnevo,#0000FF,"Nevo may I have the opportunity to be a mod?"
782,nintendogsforswitch,#5F9EA0,"no"
782,ttvbest_fortnite_player,#FF0000,"All my points on no"
786,zynxoh,#8A2BE2,"nevo just stream the game"
787,brodzster11,,"what is that fear"
792,lyraawr,#FF69B4,"hmmmm"
792,sofiyeg,#8A2BE2,"omg i can finally bet my gorgonzolas"
792,paulmccartneyy_,#DAA520,"i personally dont gamble channel points because gambling addiction haunted my family :( nevo1sFrowns  #mormon"
796,ic3mini,#000000,"@xlbullyofnevo LMAO"
796,rizzo04,#FF00F3,"i belive in you nevo"
800,sofiyeg,#8A2BE2,"no longer in 1984 netherlands"
