time,user_name,user_color,message
30,masonlutherking0,#00FF7F,"hi my friend nevo"
30,ma1va_,,"HIII"
30,bigfatfattyfatso,,"have you fixed it!!?"
33,nevo1st,#1E90FF,"HELLO"
36,jamieec,#5F9EA0,"more like rizzmass time"
38,nevo1st,#1E90FF,"@bigfatfattyfatso YES! (hopefully)"
48,mcmental22,#0000FF,"Hello Nevo"
50,masonlutherking0,#00FF7F,"merry rizzmass"
63,nevo1st,#1E90FF,"merry rizzmas my wonderful wonderful viewers"
73,gheezy_7,#1E90FF,"hello Nevo I’m having me tea"
84,nevo1st,#1E90FF,"@Gheezy_7 lovely gheezy that is great"
86,mcmental22,#0000FF,"Merry Nevmas aswell Nevo"
92,gheezy_7,#1E90FF,"cheers👍🏼"
95,jamieec,#5F9EA0,"what did everyone have for tea?"
106,masonlutherking0,#00FF7F,"chicken lad"
109,izzyatzizzis,#2E8B57,"HI NEVO"
113,gheezy_7,#1E90FF,"currently murdering a sausage pasta bake"
115,nevo1st,#1E90FF,"@izzyatzizzis HI"
120,izzyatzizzis,#2E8B57,"HOW ARE YOU"
123,lucaskehoe__,,"lucaskehoe__ subscribed with Prime. They've subscribed for 3 months! get subbed on"
135,gheezy_7,#1E90FF,"what a lad"
137,sofiyeg,#8A2BE2,"let's go! finally some bully"
141,sofiyeg,#8A2BE2,"hi nevo"
144,sofiyeg,#8A2BE2,"and hi chat :3"
154,lucaskehoe__,,"much welcome"
157,bigfatfattyfatso,,"I would stay nevo but I canny be bothered to do anything"
162,cyanyolk,#5F9EA0,"ello"
163,jamieec,#5F9EA0,"bro that's barely a haircut"
163,sofiyeg,#8A2BE2,"the haircut looks nice"
165,masonlutherking0,#00FF7F,"new fallguys map"
167,jamieec,#5F9EA0,"i had mine cut today too :D"
169,izzyatzizzis,#2E8B57,"Currently trying to set up my old Xbox to play knights of the old republic it's so hard"
174,gheezy_7,#1E90FF,"Turks done a job on your hair mate"
181,tashathetwat,,"haircut?"
192,masonlutherking0,#00FF7F,"I just slicked it back"
195,gheezy_7,#1E90FF,"only messing Nevo it’s divine"
198,tashathetwat,,"should have left it as it was"
198,mcmental22,#0000FF,"Are you enjoying Nevmas so far Nevo?"
199,cyanyolk,#5F9EA0,"here for good content don’t let me down mate"
203,izzyatzizzis,#2E8B57,"Bully??"
204,ujuzicc,#00F7FF,"hello nevo1st"
205,jamieec,#5F9EA0,"HAPPY BIRTHDAY NEVO#"
208,lyraawr,#FF69B4,"me me me! :D"
215,izzyatzizzis,#2E8B57,"HAPPY BRITHDAYYYY"
223,lyraawr,#FF69B4,"hello :)"
224,nevo1st,#1E90FF,"https://docs.google.com/forms/d/e/1FAIpQLSdDJMHCkn854CsHyz0zrZdy2L5UapGzQCMxouz4vjDXJhX0Bg/viewform?usp=sf_link"
233,izzyatzizzis,#2E8B57,"I think your hair looks nice nevo!!!"
234,mcmental22,#0000FF,"Nevo gonna be creating what happened to him at school"
235,sofiyeg,#8A2BE2,"already filled it out mate"
238,tashathetwat,,"ALREADY VOTED"
239,gheezy_7,#1E90FF,"I think I forgot to put my name"
244,sofiyeg,#8A2BE2,"EEEWWW"
245,jamieec,#5F9EA0,"mmm peppers i love it"
253,masonlutherking0,#00FF7F,"filled it out and sabotaged sneele in it"
258,gheezy_7,#1E90FF,"peppers are vulgar"
260,jamieec,#5F9EA0,"OWEN WHAT DID U DO"
262,izzyatzizzis,#2E8B57,"HAHAHA"
263,sofiyeg,#8A2BE2,"i thought about buying some peppers"
266,sofiyeg,#8A2BE2,"OMG"
268,masonlutherking0,#00FF7F,"yeah this looks right"
268,tashathetwat,,"Nevo do you have connections to Orville the duck"
268,mcmental22,#0000FF,"Nevo gonna be recreating what happened to him at school"
275,jamieec,#5F9EA0,"quit and restart"
278,cyanyolk,#5F9EA0,"well"
279,izzyatzizzis,#2E8B57,"Brilliant mate well done"
280,masonlutherking0,#00FF7F,"holy"
280,sofiyeg,#8A2BE2,"amazing game"
287,masonlutherking0,#00FF7F,"it’s like hogwarts"
288,gheezy_7,#1E90FF,"maccies WiFi"
288,ujuzicc,#00F7FF,"looks good"
292,mcmental22,#0000FF,"I think it's not working nevo"
293,sofiyeg,#8A2BE2,"oh it works maybe"
306,jamieec,#5F9EA0,"wait do u have the disc mounted still?"
319,cyanyolk,#5F9EA0,"easy speed run"
333,tashathetwat,,"eww mate what you’re just eating a pepper"
339,samie_z,,"Cheers for sub on november 26th ThetaSigma01 wherever you are"
346,kerloud,#DADADA,"Hello nev"
352,mcmental22,#0000FF,"Nevo are you going to recreate what happened to you ar school"
358,sofiyeg,#8A2BE2,"at least when you were eating the smaller peppers it was normal"
361,sofiyeg,#8A2BE2,"i can't defend this"
363,tashathetwat,,"bit rude calling me a vegetable. I know I’m special but come on mate"
369,jamieec,#5F9EA0,"quit and restart it mate i think"
370,masonlutherking0,#00FF7F,"nah I rate the pepper"
379,cyanyolk,#5F9EA0,"think it’s loading not sure though"
386,mcmental22,#0000FF,"Nevo are you going to recreate what happened to you ar school?"
396,sofiyeg,#8A2BE2,"if the game doesn't work canwe just do a stream where we bully you instead?"
398,masonlutherking0,#00FF7F,"oh yeah nice an ad"
398,tashathetwat,,"GREAT STREAM NEVO!"
409,izzyatzizzis,#2E8B57,"This is like pom gets wfif"
412,gheezy_7,#1E90FF,"@mcmental22 mc mental taking this one away"
412,cyanyolk,#5F9EA0,"you should get into asmr content"
413,izzyatzizzis,#2E8B57,"Wifi"
415,jamieec,#5F9EA0,"owen do u want me to call you and help u fix it?"
424,izzyatzizzis,#2E8B57,"This is the new pom gets wifi???"
427,lyraawr,#FF69B4,"finish your food before you start stream! disgusting"
439,masonlutherking0,#00FF7F,"I reckon I’m gonna go and practise my miis for Thursday"
439,tashathetwat,,"DO THE BEATLES DATING SIM"
443,cyanyolk,#5F9EA0,"i’ll stay if you give me a bite of your pepper"
459,jamieec,#5F9EA0,"so did you core it downstairs and bring it up whole?"
462,jamieec,#5F9EA0,"i dont understand"
463,tashathetwat,,"is that your shining top?"
463,cyanyolk,#5F9EA0,"right that’s not on now is it"
480,sofiyeg,#8A2BE2,"why not cut it into strips"
480,jamieec,#5F9EA0,"that is the work or a psychopath mate"
481,masonlutherking0,#00FF7F,"yeah sweet nevo"
488,gheezy_7,#1E90FF,"does this game give you ptsd Nevo seeing as you were picked on"
494,cyanyolk,#5F9EA0,"looks great to me"
500,cyanyolk,#5F9EA0,"perfect condition"
506,masonlutherking0,#00FF7F,"good for you"
509,sofiyeg,#8A2BE2,"i don't believe that"
514,gheezy_7,#1E90FF,"wrong"
515,kerloud,#DADADA,"Maybe you just didn't know it"
516,jamieec,#5F9EA0,"nevo try one thing"
522,jamieec,#5F9EA0,"try starting a new game"
524,tashathetwat,,"I was bullied at school for being gay nevo1sFrowns"
529,lyraawr,#FF69B4,"bellends :("
537,gheezy_7,#1E90FF,"@tashathetwat snide that"
546,izzyatzizzis,#2E8B57,"@tashathetwat SAME OMG"
547,cyanyolk,#5F9EA0,"did you put a wet paper towel on it"
556,lyraawr,#FF69B4,"nevo1st against bullying gay people!"
559,lyraawr,#FF69B4,"heard it here first"
563,mcmental22,#0000FF,"Nevo where you a bully or were you bullied?"
564,izzyatzizzis,#2E8B57,"It's okay tasha xx"
565,masonlutherking0,#00FF7F,"try putting it in rice nevo"
575,jamieec,#5F9EA0,"you alt tabbed"
577,jamieec,#5F9EA0,"your fault"
579,tashathetwat,,"Noooo do Beatles dating sim"
587,ujuzicc,#00F7FF,"do the beatles dating sim and marry pete best"
593,jamieec,#5F9EA0,"try chainging video options"
609,ujuzicc,#00F7FF,"delete save?"
615,jamieec,#5F9EA0,"it wont work"
638,gheezy_7,#1E90FF,"bully worth haha like bully😂🤣😂🤣"
641,jamieec,#5F9EA0,"id rather say that and be wrong than say it will work and it not"
650,fivootm,#00973E,"h"
654,lyraawr,#FF69B4,"hawk tuah!"
659,lyraawr,#FF69B4,"sory"
667,gheezy_7,#1E90FF,"he’s bald as well skull ed"
668,jamieec,#5F9EA0,"dont alt tab out"
669,lyraawr,#FF69B4,"FUCK"
670,lyraawr,#FF69B4,"sorry sofiye"
671,tashathetwat,,"ai generated? like that persons profile on the discord?"
674,lyraawr,#FF69B4,"i clicked the wrong thuign LOL"
678,sofiyeg,#8A2BE2,"literally 1984"
685,masonlutherking0,#00FF7F,"@tashathetwat the artist 😹"
703,gheezy_7,#1E90FF,"Nevo how long would it take you to run an American secondary school?"
734,zynxoh,#8A2BE2,"HELLO NEVO nevo1sS"
739,lyraawr,#FF69B4,"they've hacked you"
746,jamieec,#5F9EA0,"i hate this woman"
752,folklohre,#FF69B4,"will you be completing the kissing boys challenge"
757,mcmental22,#0000FF,"Nevo what clique would you be in a American school?"
760,sofiyeg,#8A2BE2,"@folklohre he better"
775,tashathetwat,,"Love how this game is technically isn’t called Bully in the UK"
779,masonlutherking0,#00FF7F,"dr crabbelsnitch"
780,sofiyeg,#8A2BE2,"the nerd who gets bullied"
780,jamieec,#5F9EA0,"you would be one of the music nerds"
784,folklohre,#FF69B4,"you would be a greaser"
789,cyanyolk,#5F9EA0,"shoved into a locker probably"
797,mcmental22,#0000FF,"I think you would be a Drama Kid"
799,jamieec,#5F9EA0,"increase the draw distance"
808,cocokofu,,"@nevo1st can you snog a dinner lady please"
811,ujuzicc,#00F7FF,"maybe wait a second before declaring it works"
816,lyraawr,#FF69B4,"streamer admitting to bullying live"
816,tashathetwat,,"Nevo defo ate his lunch in the bogs"
817,jamieec,#5F9EA0,"video options go back"
821,anastasiabvrhausen,#FF00E7,"Don’t bully me I’ll…"
827,jamieec,#5F9EA0,"oh i think its on main menu"
829,jamieec,#5F9EA0,"forget it"
830,jamieec,#5F9EA0,"as you were"
843,anastasiabvrhausen,#FF00E7,"are you balding btw"
846,ujuzicc,#00F7FF,"bald?"
858,sofiyeg,#8A2BE2,"why are you immediately going on your knees?"
860,mcmental22,#0000FF,"Nevo are you going to recreate what happened to you at school?"
863,anastasiabvrhausen,#FF00E7,"“I’m not short” ur 5’6 mate"
867,tashathetwat,,"height reveal?"
867,ujuzicc,#00F7FF,"no friends?"
882,gheezy_7,#1E90FF,"Nevo you got twatted by Dave from Barnsley Bowls lad"
882,cocokofu,,"nevo was the chief bully he bullied the bullies"
891,ujuzicc,#00F7FF,"just trying to understand what way you;re like jimmy"
897,anastasiabvrhausen,#FF00E7,"FUCK OFF you’re 5’6 you melt"
905,masonlutherking0,#00FF7F,"nevo I heard you were the teachers pet"
906,jamieec,#5F9EA0,"the fact you wont let tom tell stories about you but u go on about him is wild"
906,tashathetwat,,"what happened in year 2…"
911,izzyatzizzis,#2E8B57,"Do share what happened i don't know"
911,tashathetwat,,"WAIT THE BUM SMACKING"
925,lyraawr,#FF69B4,"swear you said you were 5'3 last night during among us?"
928,izzyatzizzis,#2E8B57,"Bro ik ur name"
931,gheezy_7,#1E90FF,"Owen Nerdo"
942,lyraawr,#FF69B4,"he's floating!"
943,fivootm,#00973E,"fixed the game btw"
946,cocokofu,,"perfect"
947,masonlutherking0,#00FF7F,"@gheezy_7 seems about right"
957,anastasiabvrhausen,#FF00E7,"Omg Owen Crews as Jin Owen Clues like you got a clue because you’re so smart"
957,izzyatzizzis,#2E8B57,"NEVO WHAY HAPPENED IN YEAR 2"
961,lyraawr,#FF69B4,"performing miracles like jesus"
964,masonlutherking0,#00FF7F,"this is just another challenge nevo"
966,jamieec,#5F9EA0,"ohh might be windows 11"
970,izzyatzizzis,#2E8B57,"Can someone in chat tell me"
973,jamieec,#5F9EA0,"im on 10"
977,tashathetwat,,"bum smacking"
983,izzyatzizzis,#2E8B57,"Wtf@tashathetwat"
995,anastasiabvrhausen,#FF00E7,"@izzyatzizzis He put his teachers mobile in the toilet after he had a shit"
1002,jamieec,#5F9EA0,"are you running it as administrator?"
1006,mcmental22,#0000FF,"Nevo when will the shoe about you saving kids from bully's called Young Nevo coming out?"
1012,izzyatzizzis,#2E8B57,"WHAT 😭 @anastasiabvrhausen"
1018,masonlutherking0,#00FF7F,"nevo was this game made about you"
1019,ujuzicc,#00F7FF,"should play a good game like the gordon ramsey dating sim rather than this glitchy unfinished mess"
1038,tashathetwat,,"BIG SHOE BIG SHOE"
1039,mcmental22,#0000FF,"I meant Show"
1048,mcmental22,#0000FF,"Silly Nevo"
1054,izzyatzizzis,#2E8B57,"Nevo you were devious in year 2"
1057,anastasiabvrhausen,#FF00E7,"@izzyatzizzis he knocked her phone and ran to the toilet. he was playing games on it and then he just put it in the shitter"
1057,tashathetwat,,"yes. Beatles dating sim"
1061,sofiyeg,#8A2BE2,"i'll watch anything"
1066,sofiyeg,#8A2BE2,"i'm not picky"
1066,cyanyolk,#5F9EA0,"all at the same time"
1068,anastasiabvrhausen,#FF00E7,"*knicked her phone"
1073,folklohre,#FF69B4,"papas pizzeria please"
1078,jamieec,#5F9EA0,"theres a bully patch"
1079,izzyatzizzis,#2E8B57,"NEVO YOU WERE BAD IN YEAR 2!!!"
1081,jamieec,#5F9EA0,"its fucked"
1082,izzyatzizzis,#2E8B57,"WOW"
1085,anastasiabvrhausen,#FF00E7,"YES PAPAS PIZZERIA"
1086,gheezy_7,#1E90FF,"fire boy and water girl"
1090,lyraawr,#FF69B4,"i support maisie and anastasia"
1095,jamieec,#5F9EA0,"oh yeah i know"
1095,masonlutherking0,#00FF7F,"I’m gonna go and practise for the mii thing on Thursday"
1103,tashathetwat,,"Octopus? like octopuses garden? like the ringo star song? the Beatles? dating sim?"
1115,anastasiabvrhausen,#FF00E7,"Nevo can u promise not to stream tomorrow since I’m busy thanks x"
