time,user_name,user_color,message
17,fivootm,#00973E,"I AM EXCITGED"
18,sofiyeg,#8A2BE2,"hi nevo :3"
19,jamieec,#5F9EA0,"evenin"
23,georgelovesnevo,#FF0000,"how do I get on"
23,ttvbest_fortnite_player,#1E90FF,"Gimp"
27,fivootm,#00973E,"IT IS TIME"
28,nevo1st,#1E90FF,"@georgelovesnevo mc name?"
33,sofiyeg,#8A2BE2,"hi everyone ^_^"
33,iu_cyy,#DAA520,"hey chickens"
34,georgelovesnevo,#FF0000,"Uh"
35,triabtrue,,"fisry"
35,georgelovesnevo,#FF0000,"one sec"
39,nevo1st,#1E90FF,"needs to be java"
41,triabtrue,,"firsy"
44,triabtrue,,"fist"
47,nevo1st,#1E90FF,"ringaling"
47,ttvbest_fortnite_player,#1E90FF,"Silver balls in your mums mouth mate"
48,triabtrue,,"uh"
51,nevo1st,#1E90FF,"hear them ring"
53,reyhanaa,#FF69B4,"The manually blinking thing was horrible nevo I'm reporting you to ofcom"
55,realkdy20,#0000FF,"dingaling"
63,fivootm,#00973E,"will it lag like nevnation3 first day"
66,nevo1st,#1E90FF,"@reyhanaa lmao get blinked on"
67,iu_cyy,#DAA520,"ding dingaling"
69,nevo1st,#1E90FF,"@FivooTM nope!"
73,thetasigma01,#1E90FF,"Hey Nevo"
85,reyhanaa,#FF69B4,"Nevo you look like you have ligma js"
88,kerloud,#DADADA,"Omg this is crazy massive evn"
90,triabtrue,,"my feller"
109,ttvbest_fortnite_player,#1E90FF,"Owen crews be like "I'm so good at minecraft" no you aren't you die"
116,reyhanaa,#FF69B4,"Oh I heard a Minecraft noise"
120,triabtrue,,"@ttvbest_fortnite_player HAHAHAHAHA"
125,sofiyeg,#8A2BE2,"can't wait to join, literally gnawing at the bars of my enclosure"
127,zynxoh,#8A2BE2,"HEY NEVO"
131,triabtrue,,"hello neevo"
133,jamieec,#5F9EA0,"hi nevo first we all say in unison"
134,bigfatfattyfatso,,"hello snowen"
134,bigmanclown,#0000FF,"BigManClown subscribed with Prime. They've subscribed for 6 months! "
136,panglewang,,"@SofiyeG same"
139,thetasigma01,#1E90FF,"Can we get a memorial for Callum's twitch"
141,reyhanaa,#FF69B4,"FIRST EVER STREAM HERE FOR THE FRIST EVER STREAM"
141,jamieec,#5F9EA0,"still no bloody new cam though"
143,fivootm,#00973E,"1"
144,kerloud,#DADADA,"How riveting"
145,iu_cyy,#DAA520,"i bet you havent washed that jumper"
153,iu_cyy,#DAA520,"gimp"
155,sofiyeg,#8A2BE2,"jumper looking extra crusty"
160,zynxoh,#8A2BE2,"I hate your jumper"
169,realkdy20,#0000FF,"i can smell that jumper from my house"
170,reyhanaa,#FF69B4,"Thank you for the special welcome nevo"
171,ttvbest_fortnite_player,#1E90FF,"Gimpy nev boy"
173,kerloud,#DADADA,"Your jumper should urrr jump lol"
176,iu_cyy,#DAA520,"thats too far the jumper is nice"
177,sofiyeg,#8A2BE2,"me me me"
179,realkdy20,#0000FF,"i am NOT"
182,iu_cyy,#DAA520,"ME ME ME !!!"
186,bigfatfattyfatso,,"how I wish I could play if there wasn’t a big bedrock wall in my way"
189,iu_cyy,#DAA520,"*raises hand cutely ughghbghghhgyhg*"
202,reyhanaa,#FF69B4,"I want to join but I can't join until LATER"
235,georgelovesnevo,#FF0000,"check dms"
244,kerloud,#DADADA,"Hold on everybody the best minecraft player ever is joining hahahehe"
246,zynxoh,#8A2BE2,"happy birthday nevo"
259,reyhanaa,#FF69B4,"George is your name true or are you a pretty little liar"
276,triabtrue,,"dont u need conmmand block?"
278,reyhanaa,#FF69B4,"Oh wait happy birthday nevo"
282,sofiyeg,#8A2BE2,"ew my controls are fucked"
