time,user_name,user_color,message
27,born2shit_forced2wipe,#5F9EA0,"yayy bully"
28,ujuzicc,#00F7FF,"what is that title neville"
30,born2shit_forced2wipe,#5F9EA0,"how ru owen?"
33,ic3mini,#000000,"aaaaaaaaaaah"
34,nevo1st,#1E90FF,"im GREAT"
34,ma1va_,,"hello"
36,nevo1st,#1E90FF,"hello guys"
36,paulmccartneyy_,#DAA520,"EVIL DOER! EVIL DOER!"
38,i_zz_yyy,#2E8B57,"Hiii nevo!!!!"
40,sofiyeg,#8A2BE2,"hi nevo :3"
43,rizzo04,#FF00F3,"BIG GASSY BOYFRIEND"
47,lzxilol,#0000FF,"the live notification"
50,nevo1st,#1E90FF,"@Rizzo04 too far mate"
51,cocokofu,,"hi nevo im putting u on my tv and going to bed"
58,nevo1st,#1E90FF,"@cocoKofu nice!"
75,born2shit_forced2wipe,#5F9EA0,"nevo what did u have for tea?"
75,ryanavfcc,#83FF83,"nevo can you do the racist quiz"
78,ryanavfcc,#83FF83,"im not racist"
79,bill_schitt,#008000,"mate whats with the title"
81,nevo1st,#1E90FF,"@JamieEC kebab"
85,tashathetwat,,"hello everyone ! nevo1sSmiles"
88,dipshittom,#008000,"ya"
91,born2shit_forced2wipe,#5F9EA0,"@nevo1st thought u didnt like kebab"
95,nevo1st,#1E90FF,"i dont"
99,born2shit_forced2wipe,#5F9EA0,"ok"
105,lzxilol,#0000FF,"@tashathetwat ELLO nevo1sWallace"
107,nevo1st,#1E90FF,"i had a bit of someone elses, wasnt very hungry"
108,aydexe,#F8E100,"nevo fart"
109,bill_schitt,#008000,"title is nasty"
113,paulmccartneyy_,#DAA520,"is it ok if i dont watch this stream? i dont want to."
120,nevo1st,#1E90FF,"@paulmccartneyy_ no"
123,born2shit_forced2wipe,#5F9EA0,"@nevo1st thats such a girlfriend move"
127,anastasiabvrhausen,#FF00E7,"hulksh3SNEELEGUN hulksh3SNEELEGUN hulksh3SNEELEGUN"
145,guynamedpipe3,,"what is this i see"
149,tashathetwat,,"Christmas stream ?!"
152,aydexe,#F8E100,"aydexe subscribed with Prime. They've subscribed for 3 months, currently on a 3 month streak! "
154,paulmccartneyy_,#DAA520,"I LOVE BULLY(ing)"
156,ryanavfcc,#83FF83,"not racist ryan confirmed"
157,dipshittom,#008000,"alright"
160,i_zz_yyy,#2E8B57,"Pot noodle"
171,bill_schitt,#008000,"i havent had my tea yet but im gonna go have one of my other pizzas from last night"
179,anastasiabvrhausen,#FF00E7,"i had a pizz... frozen...."
182,tashathetwat,,"I had Burger King for tea"
182,anastasiabvrhausen,#FF00E7,"PIZZA"
189,bill_schitt,#008000,"why do you bother asking if you're just going to be snarky about it owen"
190,kerloud,#DADADA,"??? Weird title"
190,born2shit_forced2wipe,#5F9EA0,"@bill_schitt what toppings bro?"
196,guynamedpipe3,,"i dont want to mess it up"
