time,user_name,user_color,message
10,streamelements,#5B99FF,"nevo1st is now live! Streaming Minecraft: NEVNATION 5 + ANNOUNCEMENT"
12,born2shit_forced2wipe,#2E8B57,"hi"
31,voied_,,"NEVO"
33,voied_,,"IM EARLY"
34,nevo1st,#1E90FF,"@Born2Shit_Forced2Wipe HELLO JAMES"
34,fivootm,#00973E,"I hope the announcement is your retirement!"
39,born2shit_forced2wipe,#2E8B57,"@nevo1st DOX"
40,thetasigma01,#1E90FF,"Hello Nevo!"
46,luxembourgz99,,"THE MASTERMIND STREAM ANNOUNCEMENT WE'VE ALL BEEN WAITING FOR YIPPEE"
50,nevo1st,#1E90FF,"im putting rum in my pepsi max"
64,born2shit_forced2wipe,#2E8B57,"yay drunk stream"
74,luxembourgz99,,"He's had 2 Bailey's"
92,tashathetwat,,"HELLO NEVO I AM NOT ASLEEP"
93,voied_,,"If I don’t see a Nevo X Afghan Dan colab I’ll crash out"
125,voied_,,"btw did u die in that minecraft world Owen?"
130,mcmental22,#0000FF,"Hello Nevo"
132,rizzo04,#FF00F3,"ugh guess i have to clock in now"
141,anastasiabvrhausen,#FF00E7,"I don't really want to watch can I switch this off"
141,thetasigma01,#1E90FF,"wtf is this song"
149,rizzo04,#FF00F3,"hiya pookie bear"
154,luxembourgz99,,"Nego submitted a song for San Marino Song Contest, he won't be streaming for the first half of May 💔"
160,born2shit_forced2wipe,#2E8B57,"NEVO DID U SEE SPOONS GOT CREEPERED??"
162,voied_,,"nevo did I lose all my channel points on ur world or are u alive"
164,thetasigma01,#1E90FF,"u never say hey to me >:("
169,mcmental22,#0000FF,"Are you playing Fortnite?"
169,thetasigma01,#1E90FF,"im leaving"
174,sofiyeg,#8A2BE2,"hi nevo :3"
179,rizzo04,#FF00F3,"careful saying that mate.#"
180,sofiyeg,#8A2BE2,"and hi chat :3"
184,rizzo04,#FF00F3,"HI sofiyet"
185,luxembourgz99,,"Mastermind Fortnite"
195,anastasiabvrhausen,#FF00E7,"Announcement! I love p00!"
197,rizzo04,#FF00F3,"GWON FRANK"
200,mcmental22,#0000FF,"Elford12"
200,luxembourgz99,,"Looks a bit simple"
201,tashathetwat,,"FRAAAANK"
202,realkdy20,#0000FF,"ELFORD"
202,born2shit_forced2wipe,#2E8B57,"NEVO I BEG PLEASE HAVE ME ON WITH ELFORD"
203,sofiyeg,#8A2BE2,"big up frank"
203,voied_,,"LOOK AT STEVE BRACKNELL"
214,born2shit_forced2wipe,#2E8B57,"I WOULD BE ABLE TO PROVIDE RELATABLE CONVERSATION TO HIM"
222,realkdy20,#0000FF,"why do I have 57k channel points"
233,voied_,,"You NEED to watch Steve Bracknell assistant manager of Royal Oak FC"
236,mcmental22,#0000FF,"ELFORD12 MANAGER OF SKIBIDI TOILET UNITED"
242,tashathetwat,,"OH MY GOD ?!"
243,rizzo04,#FF00F3,"YAYYY"
250,mcmental22,#0000FF,"Can I play Fortnite with Elford12 please"
256,born2shit_forced2wipe,#2E8B57,"hes more boomer than me"
275,luxembourgz99,,"Looking forward to the Luxembourg Song Contest stream this Saturday Nevo ❤️❤️❤️"
278,sofiyeg,#8A2BE2,"it would be awesome if this happens"
281,wigwad3,#00FF7F,"who"
282,tashathetwat,,"I finally got Minecrat Java nevo1sSmiles"
287,fivootm,#00973E,"woah frank is very capable how dare you say that"
292,rizzo04,#FF00F3,"YAYYYY TASHA"
292,luxembourgz99,,"So glad you promised it"
294,mcmental22,#0000FF,"I call dibs to join you and Elford12"
296,sofiyeg,#8A2BE2,"@tashathetwat YAYY"
306,rizzo04,#FF00F3,"LOLL"
311,tashathetwat,,"Who's ready for a Twat Summer !!!"
313,wigwad3,#00FF7F,"Frank Lampard tomato in the bath"
318,luxembourgz99,,"I'm a busy man"
323,conradwba,,"Helloooo"
332,rizzo04,#FF00F3,"!coords"
332,nightbot,#7C7CE1,"THE NEVIDORM STRIP -271 64 133"
334,born2shit_forced2wipe,#2E8B57,"I want to know about his life"
336,anastasiabvrhausen,#FF00E7,"ask him his top 4 films"
339,born2shit_forced2wipe,#2E8B57,"YES EXACTLY"
342,born2shit_forced2wipe,#2E8B57,"how did it come about"
347,realkdy20,#0000FF,"ask him about John Terry taking his wife"
352,anastasiabvrhausen,#FF00E7,"ask him for a big kiss"
358,born2shit_forced2wipe,#2E8B57,"tell him about your balldness issues"
359,luxembourgz99,,"Are you streaming this Saturday"
361,rizzo04,#FF00F3,"i can be there"
366,born2shit_forced2wipe,#2E8B57,"Are u saying i dont know about football?"
367,rizzo04,#FF00F3,"nvm dont have the backbling"
376,realkdy20,#0000FF,"I understand how football works but I don’t Fortnite"
393,rizzo04,#FF00F3,"I LOVE PREGNATION"
394,wigwad3,#00FF7F,"Ask him about Adam Johnson"
403,tashathetwat,,"How do I get onto Nevnation 5 nevo1sFrowns nevo1sFrowns"
410,paulmccartneyy_,#DAA520,"5th chance more like"
417,sofiyeg,#8A2BE2,"16th chanche at this point"
418,thetasigma01,#1E90FF,"NOOO!"
421,thetasigma01,#1E90FF,"DONT!"
425,luxembourgz99,,"Nebo how much would you be willing to spend to vote on something you don't care about"
430,mcmental22,#0000FF,"I know Football and have the Skibidi Toilet backbling (I used code Nevo1st in the Fortnite item shop to buy Skibidi Toilet)"
435,tashathetwat,,"HOW DO I GET IN"
