time,user_name,user_color,message
6,rizzo04,#FF00F3,"WHEYYYYY HELLO"
11,sofiyeg,#8A2BE2,"hi nevo"
13,nevo1st,#1E90FF,"WHEYYYYYY"
19,nevo1st,#1E90FF,"HELLO RIZZO AND SOFIYE"
24,born2shit_forced2wipe,#5F9EA0,"hi owen"
25,rizzo04,#FF00F3,"ELLO MATE"
29,fivootm,#00973E,"AYUP"
32,thetasigma01,#1E90FF,"Hey Nevo!"
37,guynamedpipe3,#2E8B57,"yo"
40,sofiyeg,#8A2BE2,"and hello everyone else :3"
41,nevo1st,#1E90FF,"EYUP AND WELCOME TO NEVOS CORNER"
45,necrozmatic_,#1E90FF,"subbed for a month again nevster"
56,thetasigma01,#1E90FF,"@nevo1st best Corner"
58,nevo1st,#1E90FF,"@Necrozmatic_ THANK YOU IDK WHERE THE NOTIF WAS"
60,someautist1cguy,,"ello nevo1sSmiles"
63,thetasigma01,#1E90FF,"Ello everyone"
70,heyitsexp,#FF69B4,"ayup. first time on the stream."
76,ma1va_,,"Hello!!!"
85,thetasigma01,#1E90FF,"@ma1va_ hey"
103,lyraawr,#FF69B4,"wait is it true nevo1st is live?"
110,tashathetwat,,"evening gents"
112,guynamedpipe3,#2E8B57,"i think so"
116,born2shit_forced2wipe,#5F9EA0,"JamieEC subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! hi owen thanks for the streams over the past months you have made me laugh in some of my darkest times <3"
120,luxembourgz99,,"Didn't know this was happening but I can send a pic of my leftovers"
123,rizzo04,#FF00F3,"hiya matey"
132,xyzxxxy,#0000FF,"Kyoto phxtutdtixkyrzeUaly"
145,sofiyeg,#8A2BE2,"this accent kills me every time"
146,necrozmatic_,#1E90FF,"Necrozmatic_ subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! "
151,cocokofu,,"HI NEVO!!!!!!!!!!!!"
158,xyzxxxy,#0000FF,"did you see that new Wallace and Gromit film?"
165,tashathetwat,,"Sneele is gonna rank me low coz he hates me nevo1sFrowns"
168,cocokofu,,"its been so long"
169,born2shit_forced2wipe,#5F9EA0,"did u have a good christmas?"
171,kerloud,#DADADA,"What's up nev how was ur rizzmass"
173,kenziemoocow,#B22222,"hi"
175,guynamedpipe3,#2E8B57,"i had to force feed myself pancakes to be here"
175,kerloud,#DADADA,"WHAT"
176,fivootm,#00973E,"you what???"
177,cocokofu,,"OMG"
177,reyhanaa,#FF69B4,"Hello all"
179,funjimmywantstostream,,"ITS GREAT"
179,born2shit_forced2wipe,#5F9EA0,"you are in for a treat u will love it"
180,kerloud,#DADADA,"It was peak trust me"
184,cocokofu,,"CAN WE MOVIE NIGHT IT TONIGHT I HAVENT SEEN IT EITHER"
189,heyitsexp,#FF69B4,"hell yeah"
192,thetasigma01,#1E90FF,"@nevo1st film night tonight!!??!"
195,sofiyeg,#8A2BE2,"i like how 50% of the time he correctly pronounces necrozmatic's name and the other times he just mispronounces it"
196,rizzo04,#FF00F3,"im new :)"
207,someautist1cguy,,"my pic was so shite. focking Samsung camera quality"
207,bigmanting1337_,#8A2BE2,"hello owen"
217,kerloud,#DADADA,"I bought the wallace and gromit bee game and it's unreasonably difficutl"
221,xyzxxxy,#0000FF,"I was going to have a Christmas tinner but I decided to have something nicer for the tier list"
231,cocokofu,,"i forgot to  take pictures of my christmas dinner sorry"
235,tashathetwat,,"how is everyone this evening nevo1sSmiles"
236,cyanyolk,#5F9EA0,"hello it’s been a while"
244,born2shit_forced2wipe,#5F9EA0,"nevo i had submitted 3 pics but they are all separate"
244,sofiyeg,#8A2BE2,"@SomeAutist1cGuy i asked my sister to take the pic because she has an iphone, because i tried with my android and it was shite nevo1sSmiles"
245,sneele_,#FF7F50,"Hello"
251,xyzxxxy,#0000FF,"I think someone used Ai"
253,ic3mini,#000000,"i didnt take a picture of mine. i decided not too"
266,tashathetwat,,"YOU GOT RECOGNISED"
267,thetasigma01,#1E90FF,"@Rizzo04 Hey rizzo glad u could be here for ur 1st nevo stream"
268,reyhanaa,#FF69B4,"@sneele_ hello"
269,fivootm,#00973E,"wait did they put fanum on a horse?"
272,luxembourgz99,,"Our family has 2 people make Christmas dinner every year and next year it's me and my brother"
277,kerloud,#DADADA,"Omg"
