time,user_name,user_color,message
3,rizzo04,#FF00F3,"GWON R KID"
4,rainze3,#B22222,"hell yeah"
5,rizzo04,#FF00F3,"FIRST"
6,rainze3,#B22222,"!"
12,streamelements,#5B99FF,"nevo1st is now live! Streaming Just Chatting: LIVE at a Haven holiday park!!"
20,sofiyeg,#8A2BE2,"finally nevo1sSmiles"
24,born2shit_forced2wipe,#2E8B57,"hi"
24,thetasigma01,#5F9EA0,"Hello!"
24,nevo1st,#1E90FF,"epic hello r kids"
39,sofiyeg,#8A2BE2,"hi everyone :3"
46,conradwba,,"hellooooo"
50,rainze3,#B22222,"hey yall"
53,totally_wired_47,#FF69B4,"hi nevo"
53,rizzo04,#FF00F3,"ello cha t"
56,nevo1st,#1E90FF,"nevo1sSmiles nevo1sSmiles nevo1sSmiles nevo1sSmiles"
58,ma1va_,,"hiiiii"
60,georgelovesnevo,#FF0000,"yo family"
67,nevo1st,#1E90FF,"@georgelovesnevo goggyy"
87,totally_wired_47,#FF69B4,"@nevo1st is this the soggy biscuit stream?"
87,rizzo04,#FF00F3,"please drink spot puss on stream"
94,georgelovesnevo,#FF0000,"@nevo1st you alright mate"
100,nevo1st,#1E90FF,"@Totally_Wired_47 yes mate"
115,conradwba,,"yes mate"
116,rizzo04,#FF00F3,"took your time mate jesus christ"
127,born2shit_forced2wipe,#2E8B57,"what u eat?"
128,rizzo04,#FF00F3,"EATING POO"
128,sofiyeg,#8A2BE2,"@nevo1st for one moment i thought you were responding to rizzos request with this message"
130,conradwba,,"what were you eating?"
138,rizzo04,#FF00F3,"nice hoodie mate fancy washing it"
139,born2shit_forced2wipe,#2E8B57,"prison food"
148,totally_wired_47,#FF69B4,"soggy biscuits"
154,sofiyeg,#8A2BE2,"so much bum fluff on that hoodie"
161,rizzo04,#FF00F3,"under the tick"
164,born2shit_forced2wipe,#2E8B57,"no more than norpaml"
171,rizzo04,#FF00F3,"STILL HAVENT SHAVED THE CHEST HAIR"
172,rizzo04,#FF00F3,"DO IT NOW"
194,rizzo04,#FF00F3,"thats so grim can you pluck it out and eat it"
197,totally_wired_47,#FF69B4,"nevo take of ur top"
203,georgelovesnevo,#FF0000,"🤢"
213,nevo1st,#1E90FF,"https://docs.google.com/forms/d/e/1FAIpQLSctUHwvvcc69CyzUeJIHAUknLunTVXiIWklu9OXaoVQ1Wa6yw/viewform?usp=header"
215,thetasigma01,#5F9EA0,"WAIT U AND RIZZO!?!?!?"
227,totally_wired_47,#FF69B4,"can i submit multiple"
230,georgelovesnevo,#FF0000,"Police will be on the stream"
235,rizzo04,#FF00F3,"he dragged me into this i had no choice he blackmailed me"
237,sofiyeg,#8A2BE2,"wait we're finally getting an entertaining host on the nevo stream nevo1sSmiles"
259,thetasigma01,#5F9EA0,"thank fuck we are getting a real streamer on the nevo stream"
264,thetasigma01,#5F9EA0,"big up @Rizzo04"
265,rizzo04,#FF00F3,"welp there goes my confession..."
295,sofiyeg,#8A2BE2,"nothing to confess though mate, like an angel me"
308,georgelovesnevo,#FF0000,"Is it a good thing that i have nothing to confess"
317,born2shit_forced2wipe,#2E8B57,"BRO IVE NEARLY FINUISHED THE AIRPORT"
318,totally_wired_47,#FF69B4,"its shite m8"
318,rizzo04,#FF00F3,"i think its good needs a bit more attention and big events"
323,rizzo04,#FF00F3,"ME"
331,rainze3,#B22222,"me"
333,sofiyeg,#8A2BE2,"it's good, just haven't had much time to be on lately"
334,born2shit_forced2wipe,#2E8B57,"no im not a tory"
344,born2shit_forced2wipe,#2E8B57,"went to butlins like a working class boy"
349,born2shit_forced2wipe,#2E8B57,"its not its so expensive"
352,mcmental22,#0000FF,"Nevo what are you playing"
355,georgelovesnevo,#FF0000,"Still hasnt added me back"
359,tashathetwat,,"I’m getting on Roblox NOW"
365,sofiyeg,#8A2BE2,"never been to haven but i have been to butlins"
373,rizzo04,#FF00F3,"wait this is the one i've actually been to"
373,born2shit_forced2wipe,#2E8B57,"OH am i thinking of center parcs"
387,mcmental22,#0000FF,"Nevo have you seen the Conservative Party roblox servers."
400,born2shit_forced2wipe,#2E8B57,"its on the river tweed mate like the name"
410,born2shit_forced2wipe,#2E8B57,"conan will be on there"
428,sofiyeg,#8A2BE2,"i hate rizzo wearing a pooey diaper"
462,born2shit_forced2wipe,#2E8B57,"is it better than the w+g one?"
487,rizzo04,#FF00F3,"why is roblox using 10 mb a second what the fuck"
487,mcmental22,#0000FF,"Yea people have made them and other British political parties like Reform UK and Labour and they have also made servers for the separate branches of the military"
501,rizzo04,#FF00F3,"for me"
508,rainze3,#B22222,"can we get some confession sneak peeks nevo please!"
526,rizzo04,#FF00F3,"ITS SO LOUDN AYAHHAHA"
549,sofiyeg,#8A2BE2,"getting overstimulated already, such a true-to-life experience"
551,mcmental22,#0000FF,"Nevo can you go on the conservative Roblox servers?"
553,conradwba,,"drop zone 3 please Nevo"
583,born2shit_forced2wipe,#2E8B57,"this is  so verstimulating"
595,mcmental22,#0000FF,"Nevo where are the Haven mascots I can't remember there names"
622,mcmental22,#0000FF,"Nevo play a game of pool"
626,born2shit_forced2wipe,#2E8B57,"you arent meant to leave"
653,sofiyeg,#8A2BE2,"finally getting the poo stream"
689,sofiyeg,#8A2BE2,"kofu's skin is horrifying"
698,rainze3,#B22222,"poo sex?"
699,born2shit_forced2wipe,#2E8B57,"'all we could afford was poo'"
714,realkdy20,#0000FF,"'just chatting'"
715,cocokofu,,"my internet is shitting itself i cant play"
