time,user_name,user_color,message
27,rizzo04,#FF00F3,"HIYA NEVO"
32,boommer69,#2E8B57,"HI"
33,thetasigma01,#1E90FF,"hello nevo"
33,nevo1st,#1E90FF,"HIYA"
38,bigmanting1337_,#8A2BE2,"hello owen"
42,boommer69,#2E8B57,"YAAAY IM SECOND"
52,boommer69,#2E8B57,"wait..."
53,bigmanting1337_,#8A2BE2,"whys it so quiet"
54,nevo1st,#1E90FF,"welcome in kittens"
62,nevo1st,#1E90FF,"is it?"
63,ma1va_,,"HII"
64,boommer69,#2E8B57,"NEW SONG YEEES"
65,fivootm,#00973E,"@nevo1st leaving"
66,anastasiabvrhausen,#FF00E7,"WHY DIDNT U WARN ME ABOUT THE WILBUR SOOT MOMENT IN ITS A WONDERFUL LIFE"
67,boommer69,#2E8B57,"and also"
69,xyzxxxy,#0000FF,"Song of the summer?"
70,smellysoggysock,#1E90FF,"Hi hi"
71,boommer69,#2E8B57,"ROBLOX?"
78,jamieec,#5F9EA0,"omg surprise nevo stream"
83,nevo1st,#1E90FF,"is it quiet?"
87,smellysoggysock,#1E90FF,"Yes"
87,jamieec,#5F9EA0,"a little"
87,nevo1st,#1E90FF,"@AnastasiaBvrhausen no clue"
88,boommer69,#2E8B57,"it's nice"
88,bigmanting1337_,#8A2BE2,"@nightbot bitch"
105,anastasiabvrhausen,#FF00E7,"nevo1sFrowns Clarence the angel bites the police man"
107,izzyatzizzis,#2E8B57,"HI NEVO!!!"
110,ujuzicc,#00F7FF,"hello"
111,thetasigma01,#1E90FF,"wait your subed to urself @nevo1st dose that mean u pay money to urself then lose it every month?"
115,boommer69,#2E8B57,"PLS NEVO GIFT ME CAMERAMAN SKIN IN FORTNITE"
120,nevo1st,#1E90FF,"@ThetaSigma01 errrr"
124,dipshittom,#008000,"wow"
142,nintendogsforswitch,#5F9EA0,"i love that this song is about me and ic3mini being nasty little teamers"
144,kiinggslley,#00FF7F,"YOURE VERY CLOSE NEVO"
145,folklohre,#FF69B4,"ROBLOX????"
147,bill_schitt,#008000,"RETIRE NOW"
149,bill_schitt,#008000,"PLEASE"
154,jamieec,#5F9EA0,"nevo is this ur last stream b4 xmas?"
157,thetasigma01,#1E90FF,"ThetaSigma01 is gifting 1 Tier 1 Subs to nevo1st's community! They've gifted a total of 78 in the channel! "
158,thetasigma01,#1E90FF,"ThetaSigma01 gifted a Tier 1 sub to 404ShinyNotFound! "
159,dipshittom,#008000,"hi there hello"
160,kiinggslley,#00FF7F,"HELLS KITCHEN?"
162,bigmanting1337_,#8A2BE2,"@thetasigma01 you still got nothing in the bank"
169,thetasigma01,#1E90FF,"what do u mean no one subed"
171,bill_schitt,#008000,"TURN CHAT OVERLAY BACK ON"
172,realkdy20,#0000FF,"obstacle course"
175,folklohre,#FF69B4,"obby is obstacle course"
176,thetasigma01,#1E90FF,"@Bigmanting1337_ no i got money now"
178,rizzo04,#FF00F3,"youre so cute today"
182,kiinggslley,#00FF7F,"have u seen the Hell’s Kitchen game on Roblox, check Gordon’s insta 💀"
185,bill_schitt,#008000,"@Rizzo04 thanks :D"
187,jamieec,#5F9EA0,"are u in your PJs bro?"
