time,user_name,user_color,message
15,streamelements,#5B99FF,"nevo1st is now live! Streaming Minecraft: NEVNATION 5 EPIC HOTEL TIME TEEHEE"
22,rainze3,#B22222,"FIRST"
26,luxembourgz99,,"Yes"
27,nevo1st,#1E90FF,"hello"
30,nevo1st,#1E90FF,"rainze3"
31,luxembourgz99,,"Mastermind stream"
31,ma1va_,,"HELLOO"
32,born2shit_forced2wipe,#2E8B57,"hi nevo"
32,fivootm,#00973E,"7pm!"
34,nevo1st,#1E90FF,"and luxembourg"
38,born2shit_forced2wipe,#2E8B57,"i just ordered my indian ffs!"
38,luxembourgz99,,"When"
43,rainze3,#B22222,"@nevo1st hellooo"
49,ya_dad_sells_avon123,,"hello nevo1st"
50,rizzo04,#FF00F3,"11 raiders from Rizzo04 have joined! "
55,sofiyeg,#8A2BE2,"hi nevo :3"
60,rizzo04,#FF00F3,"hellloooooo"
61,rainze3,#B22222,"nevo1sPog"
65,luigimangione2024,,"bo"
65,nevo1st,#1E90FF,"HUGE RAID FROM RIZZO"
67,sofiyeg,#8A2BE2,"and hello chat :3"
79,nevo1st,#1E90FF,"^^^"
82,thetasigma01,#1E90FF,"Hey Nevo!"
84,hairehdb,#9E5C9D,"GREAT STREAM RIZZO! nevo1sSmiles"
88,nevo1st,#1E90FF,"@ThetaSigma01 HELLO THETASIGMA"
97,poppo2016,,"only crap nev nation what’s up guys"
99,thetasigma01,#1E90FF,"wow for once u said hey to me"
103,bartsimplton,#DAA520,"HELLOOOOOO EVERYBODY !!!!"
106,mcmental22,#0000FF,"Hello Nevo"
107,ma1va_,,"how are you nyevo"
119,nevo1st,#1E90FF,"@ma1va_ i am great thank oyu malva"
123,sofiyeg,#8A2BE2,"can't wait to go from a great stream to a mediocre one :P"
132,luxembourgz99,,"Nevo don't vote on Luxembourg Song Contest btw there's rumours that it's rigged"
141,rainze3,#B22222,"!sr guns n roses sweet child of mine"
142,streamelements,#5B99FF,"@rainze3, added GunsNRosesVEVO - "Guns N' Roses - Sweet Child O' Mine (Official Music Video)" to the queue at #1 (playing ~now) https://youtu.be/1w7OgIMMRc4"
148,rizzo04,#FF00F3,"AWWWW BIG POO"
155,luxembourgz99,,"I had crackers and hummous for dinner"
160,mcmental22,#0000FF,"!sr https://m.youtube.com/watch?v=QwZT7T-TXT0"
161,streamelements,#5B99FF,"@mcmental22, added Logan Paul - "So Sorry." to the queue at #2 (playing ~in  5 mins 3 secs) https://youtu.be/QwZT7T-TXT0"
163,fivootm,#00973E,"RIZZO END YOUR STREAM LAD"
175,luxembourgz99,,"!sr human eyes mana"
176,streamelements,#5B99FF,"@luxembourgz99, added MÄNA - Topic - "Human Eyes" to the queue at #3 (playing ~in  6 mins 48 secs) https://youtu.be/1QxI5LCFho4"
180,mcmental22,#0000FF,"!sr No Ls by Deji"
181,streamelements,#5B99FF,"@mcmental22, added RomTheEditor - "Deji x Jallow - No Ls [Reupload]" to the queue at #4 (playing ~in  9 mins 40 secs) https://youtu.be/eX7us3B4Z4I"
181,rainze3,#B22222,"!sr smalltown boy bronski beat"
194,luxembourgz99,,"!sr catalina solomac demons"
194,streamelements,#5B99FF,"@luxembourgz99, added Catalina Solomac - "Cătălina Solomac - Demons (Selecția Națională Eurovision Moldova 2025)" to the queue at #5 (playing ~in  13 mins 13 secs) https://youtu.be/SVxXBBnr2iI"
194,rainze3,#B22222,"!sr smalltown boy bronski bea"
