Nikita,800
Fuck you nikita,1800
triabrtrue,2150
Ya dad sells Avon ,2000
Ya dad sells Avon ,1450
jamie,1350
MasonLutherKing,750
MasonLutherKing,1400
Sofiye,4400
MasonLutherKing,1550
jamie,1050
nevo1st,1900
Charlie,3750
Nikita11111111111111122222,3900
Nikita will rise again,2750
go fuck yourself,2700
piss and shit,2800
tigbanming,800
migtanbing,1500
Bigmanting1337,2050
